city,barangay
Alcantara,Cabadiangan
Alcantara,Cabil-isan
Alcantara,Candabong
Alcantara,Lawaan
Alcantara,Manga
Alcantara,Palanas
Alcantara,Poblacion
Alcantara,Polo
Alcantara,Salagmaya
Alcoy,Atabay
Alcoy,Daan-Lungsod
Alcoy,Guiwang
Alcoy,Nug-as
Alcoy,Pasol
Alcoy,Pugalo
Alcoy,San Agustin
Alegria,Compostela
Alegria,Guadalupe
Alegria,Legaspi
Alegria,Lepanto
Alegria,Madridejos
Alegria,Montpeller
Alegria,Santa Filomena
Alegria,Valencia
Aloguinsan,Angilan
Aloguinsan,Bojo
Aloguinsan,Bonbon
Aloguinsan,Esperanza
Aloguinsan,Kandingan
Aloguinsan,Kantabogon
Aloguinsan,Kawasan
Aloguinsan,Olango
Aloguinsan,Punay
Aloguinsan,Rosario
Aloguinsan,Saksak
Aloguinsan,Tampa-an
Aloguinsan,Toyokon
Aloguinsan,Zaragosa
Argao,Alambijud
Argao,Anajao
Argao,Apo
Argao,Balaas
Argao,Balisong
Argao,Binlod
Argao,Bogo
Argao,Bug-ot
Argao,Bulasa
Argao,Butong
Argao,Calagasan
Argao,Canbantug
Argao,Canbanua
Argao,Cansuje
Argao,Capio-an
Argao,Casay
Argao,Catang
Argao,Colawin
Argao,Conalum
Argao,Guiwanon
Argao,Gutlang
Argao,Jampang
Argao,Jomgao
Argao,Lamacan
Argao,Langtad
Argao,Langub
Argao,Lapay
Argao,Lengigon
Argao,Linut-od
Argao,Mabasa
Argao,Mandilikit
Argao,Mompeller
Argao,Panadtaran
Argao,Sua
Argao,Sumaguan
Argao,Tabayag
Argao,Talaga
Argao,Talaytay
Argao,Talo-ot
Argao,Tiguib
Argao,Tulang
Argao,Tulic
Argao,Ubaub
Argao,Usmad
Asturias,Agbanga
Asturias,Agtugop
Asturias,Bago
Asturias,Bairan
Asturias,Banban
Asturias,Baye
Asturias,Bog-o
Asturias,Kaluangan
Asturias,Lanao
Asturias,Looc Norte
Asturias,Lunas
Asturias,Magcalape
Asturias,Manguiao
Asturias,New Bago
Asturias,Owak
Asturias,San Isidro
Asturias,San Roque
Asturias,Santa Lucia
Asturias,Santa Rita
Asturias,Tag-amakan
Asturias,Tagbubonga
Asturias,Tubigagmanok
Asturias,Tubod
Asturias,Ubogon
Badian,Alawijao
Badian,Balhaan
Badian,Banhigan
Badian,Basak
Badian,Basiao
Badian,Bato
Badian,Bugas
Badian,Calangcang
Badian,Candiis
Badian,Dagatan
Badian,Dobdob
Badian,Ginablan
Badian,Lambug
Badian,Malabago
Badian,Malhiao
Badian,Manduyong
Badian,Matutinao
Badian,Patong
Badian,Sanlagan
Badian,Santicon
Badian,Sohoton
Badian,Sulsugan
Badian,Talayong
Badian,Taytay
Badian,Tigbao
Balamban,Abucayan
Balamban,Aliwanay
Balamban,Arpili
Balamban,Baliwagan (Pob.)
Balamban,Bayong
Balamban,Biasong
Balamban,Buanoy
Balamban,Cabagdalan
Balamban,Cabasiangan
Balamban,Cambuhawe
Balamban,Cansomoroy
Balamban,Cantibas
Balamban,Cantuod
Balamban,Duangan
Balamban,Gaas
Balamban,Ginatilan
Balamban,Hingatmonan
Balamban,Lamesa
Balamban,Liki
Balamban,Luca
Balamban,Matun-og
Balamban,Nangka
Balamban,Pondol
Balamban,Prenza
Balamban,Santa Cruz-Santo Niño (Pob.)
Balamban,Singsing
Balamban,Sunog
Balamban,Vito
Bantayan,Atop-atop
Bantayan,Baigad
Bantayan,Baod
Bantayan,Binaobao (Pob.)
Bantayan,Botigues
Bantayan,Lipayran
Bantayan,Sungko
Barili,Azucena
Barili,Bagakay
Barili,Balao
Barili,Bolocboloc
Barili,Budbud
Barili,Bugtong Kawayan
Barili,Cabcaban
Barili,Cagay
Barili,Campangga
Barili,Candugay
Barili,Dakit
Barili,Giloctog
Barili,Giwanon
Barili,Guibuangan
Barili,Gunting
Barili,Hilasgasan
Barili,Japitan
Barili,Kalubihan
Barili,Kangdampas
Barili,Luhod
Barili,Lupo
Barili,Luyo
Barili,Maghanoy
Barili,Maigang
Barili,Malolos
Barili,Mantalongon
Barili,Mantayupan
Barili,Mayana
Barili,Minolos
Barili,Nabunturan
Barili,Nasipit
Barili,Pancil
Barili,Pangpang
Barili,Paril
Barili,Patupat
Barili,San Rafael
Barili,Santa Ana
Barili,Sayaw
Barili,Tal-ot
Bogo City,Anonang Norte
Bogo City,Anonang Sur
Bogo City,Binabag
Bogo City,Bungtod (Pob.)
Bogo City,Carbon (Pob.)
Bogo City,Cayang
Bogo City,Cogon (Pob.)
Bogo City,Don Pedro Rodriguez
Bogo City,Gairan
Bogo City,La Paz
Bogo City,La Purisima Concepcion (Pob.)
Bogo City,Libertad
Bogo City,Lourdes (Pob.)
Bogo City,Malingin
Bogo City,Marangog
Bogo City,Nailon
Bogo City,Odlot
Bogo City,Pandan (Pandan Heights)
Bogo City,Polambato
Bogo City,Sambag (Pob.)
Bogo City,San Vicente (Pob.)
Bogo City,Santo Niño
Bogo City,Santo Rosario (Pob.)
Bogo City,Siocon
Bogo City,Sudlonon
Bogo City,Taytayan
Boljoon,Arbor
Boljoon,Baclayan
Boljoon,El Pardo
Boljoon,Granada
Boljoon,Lower Becerril
Boljoon,Lunop
Boljoon,San Antonio
Boljoon,South Granada
Boljoon,Upper Becerril
Borbon,Bagacay
Borbon,Bili
Borbon,Bingay
Borbon,Bongdo
Borbon,Bongdo Gua
Borbon,Bongoyan
Borbon,Cadaruhan
Borbon,Cajel
Borbon,Campusong
Borbon,Clavera
Borbon,Don Gregorio Antigua (Taytayan)
Borbon,Laaw
Borbon,Lugo
Borbon,Managase
Borbon,Sagay
Borbon,San Jose
Borbon,Tabunan
Borbon,Tagnucan
Carcar City,Bolinawan
Carcar City,Buenavista
Carcar City,Calidngan
Carcar City,Can-asujan
Carcar City,Liburon
Carcar City,Napo
Carcar City,Ocana
Carcar City,Perrelos
Carcar City,Poblacion I
Carcar City,Poblacion II
Carcar City,Poblacion III
Carcar City,Tuyom
Carcar City,Valladolid
Carmen,Baring
Carmen,Cantipay
Carmen,Cantukong
Carmen,Cantumog
Carmen,Caurasan
Carmen,Cogon East
Carmen,Cogon West
Carmen,Corte
Carmen,Dawis Norte
Carmen,Dawis Sur
Carmen,Hagnaya
Carmen,Ipil
Carmen,Lanipga
Carmen,Liboron
Carmen,Lower Natimao-an
Carmen,Luyang
Carmen,Puente
Carmen,Sac-on
Carmen,Triumfo
Carmen,Upper Natimao-an
Catmon,Agsuwao
Catmon,Amancion
Catmon,Anapog
Catmon,Bactas
Catmon,Binongkalan
Catmon,Bongyas
Catmon,Cabungaan
Catmon,Cambangkaya
Catmon,Can-ibuang
Catmon,Catmondaan
Catmon,Corazon (Pob.)
Catmon,Duyan
Catmon,Flores (Pob.)
Catmon,Ginabucan
Catmon,Macaas
Catmon,Panalipan
Catmon,San Jose Pob. (Catadman)
Catmon,Tabili
Catmon,Tinabyonan
Cebu City,Adlaon
Cebu City,Agsungot
Cebu City,Apas
Cebu City,Babag
Cebu City,Bacayan
Cebu City,Banilad
Cebu City,Basak Pardo
Cebu City,Basak San Nicolas
Cebu City,Binaliw
Cebu City,Budla-an (Pob.)
Cebu City,Buhisan
Cebu City,Bulacao
Cebu City,Buot-Taup Pardo
Cebu City,Busay (Pob.)
Cebu City,Calamba
Cebu City,Cambinocot
Cebu City,Camputhaw (Pob.)
Cebu City,Capitol Site (Pob.)
Cebu City,Carreta
Cebu City,Central (Pob.)
Cebu City,Cogon Pardo
Cebu City,Cogon Ramos (Pob.)
Cebu City,Day-as
Cebu City,Duljo (Pob.)
Cebu City,Ermita (Pob.)
Cebu City,Guba
Cebu City,Hippodromo
Cebu City,Inayawan
Cebu City,Kalubihan (Pob.)
Cebu City,Kalunasan
Cebu City,Kamagayan (Pob.)
Cebu City,Kasambagan
Cebu City,Kinasang-an Pardo
Cebu City,Labangon
Cebu City,Lahug (Pob.)
Cebu City,Lorega (Lorega San Miguel)
Cebu City,Lusaran
Cebu City,Luz
Cebu City,Mabini
Cebu City,Mabolo
Cebu City,Malubog
Cebu City,Mambaling
Cebu City,Pahina Central (Pob.)
Cebu City,Pamutan
Cebu City,Pardo (Pob.)
Cebu City,Pari-an
Cebu City,Pasil
Cebu City,Pit-os
Cebu City,Pulangbato
Cebu City,Pung-ol-Sibugay
Cebu City,Punta Princesa
Cebu City,Quiot Pardo
Cebu City,Sambag I (Pob.)
Cebu City,Sambag II (Pob.)
Cebu City,San Antonio (Pob.)
Cebu City,San Nicolas Central
Cebu City,San Roque (Ciudad)
Cebu City,Santa Cruz (Pob.)
Cebu City,Sapangdaku
Cebu City,Sawang Calero (Pob.)
Cebu City,Sinsin
Cebu City,Sirao
Cebu City,Suba Pob. (Suba San Nicolas)
Cebu City,Sudlon I
Cebu City,Sudlon II
Cebu City,T. Padilla
Cebu City,Tagbao
Cebu City,Talamban
Cebu City,Taptap
Cebu City,Tejero (Villa Gonzalo)
Cebu City,Tinago
Cebu City,Tisa
Cebu City,To-ong Pardo
Cebu City,Zapatera
Compostela,Bagalnga
Compostela,Buluang
Compostela,Cambayog
Compostela,Canamucan
Compostela,Cogon
Compostela,Dapdap
Compostela,Estaca
Compostela,Lupa
Compostela,Magay
Compostela,Mulao
Compostela,Panangban
Compostela,Tag-ube
Compostela,Tamiao
Compostela,Tubigan
Consolacion,Cabangahan
Consolacion,Cansaga
Consolacion,Casili
Consolacion,Danglag
Consolacion,Garing
Consolacion,Jugan
Consolacion,Lamac
Consolacion,Panas
Consolacion,Panoypoy
Consolacion,Pitogo
Consolacion,Poblacion Occidental
Consolacion,Poblacion Oriental
Consolacion,Polog
Consolacion,Pulpogan
Consolacion,Sacsac
Consolacion,Tayud
Consolacion,Tilhaong
Consolacion,Tolotolo
Consolacion,Tugbongan
Cordova,Alegria
Cordova,Bangbang
Cordova,Buagsong
Cordova,Catarman
Cordova,Dapitan
Cordova,Gabi
Cordova,Gilutongan
Cordova,Ibabao
Cordova,Pilipog
Cordova,San Miguel
Daanbantayan,Aguho
Daanbantayan,Bagay
Daanbantayan,Bakhawan
Daanbantayan,Bateria
Daanbantayan,Bitoon
Daanbantayan,Calape
Daanbantayan,Carnaza
Daanbantayan,Dalingding
Daanbantayan,Logon
Daanbantayan,Malbago
Daanbantayan,Maya
Daanbantayan,Pajo
Daanbantayan,Paypay
Daanbantayan,Talisay
Daanbantayan,Tapilon
Dalaguete,Ablayan
Dalaguete,Babayongan
Dalaguete,Balud
Dalaguete,Bulak
Dalaguete,Caleriohan
Dalaguete,Caliongan
Dalaguete,Catolohan
Dalaguete,Cawayan
Dalaguete,Consolacion
Dalaguete,Coro
Dalaguete,Dugyan
Dalaguete,Dumalan
Dalaguete,Jolomaynon
Dalaguete,Langkas
Dalaguete,Lumbang
Dalaguete,Malones
Dalaguete,Maloray
Dalaguete,Mananggal
Dalaguete,Manlapay
Dalaguete,Nalhub
Dalaguete,Obo
Dalaguete,Obong
Dalaguete,Salug
Dalaguete,Tabon
Dalaguete,Tapun
Dalaguete,Tuba
Danao City,Baliang
Danao City,Bayabas
Danao City,Cabungahan
Danao City,Cagat-Lamac
Danao City,Cahumayan
Danao City,Cambanay
Danao City,Cambubho
Danao City,Cogon-Cruz
Danao City,Danasan
Danao City,Dungga
Danao City,Dunggoan
Danao City,Guinacot
Danao City,Guinsay
Danao City,Ibo
Danao City,Langosig
Danao City,Licos
Danao City,Looc
Danao City,Magtagobtob
Danao City,Malapoc
Danao City,Manlayag
Danao City,Mantija
Danao City,Masaba
Danao City,Maslog
Danao City,Oguis
Danao City,Pili
Danao City,Quisol
Danao City,Sabang
Danao City,Sandayong Norte
Danao City,Sandayong Sur
Danao City,Santa Rosa
Danao City,Santican
Danao City,Sibacan
Danao City,Suba
Danao City,Taboc
Danao City,Togonon
Danao City,Tuburan Sur
Dumanjug,Balaygtiki
Dumanjug,Bullogan
Dumanjug,Calaboon
Dumanjug,Camboang
Dumanjug,Cotcoton
Dumanjug,Doldol
Dumanjug,Ilaya (Pob.)
Dumanjug,Kabalaasnan
Dumanjug,Kabatbatan
Dumanjug,Kambanog
Dumanjug,Kang-actol
Dumanjug,Kanghalo
Dumanjug,Kanghumaod
Dumanjug,Kanguha
Dumanjug,Kantangkas
Dumanjug,Kanyuko
Dumanjug,Kolabtingon
Dumanjug,Lamak
Dumanjug,Liong
Dumanjug,Masa
Dumanjug,Matalao
Dumanjug,Paculob
Dumanjug,Panlaan
Dumanjug,Pawa
Dumanjug,Poblacion Central
Dumanjug,Poblacion Looc
Dumanjug,Poblacion Sima
Dumanjug,Tangil
Dumanjug,Tapon
Dumanjug,Tubod-Bitoon
Dumanjug,Tubod-Dugoan
Ginatilan,Anao
Ginatilan,Cagsing
Ginatilan,Calabawan
Ginatilan,Cambagte
Ginatilan,Campisong
Ginatilan,Canorong
Ginatilan,Malatbo
Ginatilan,Mangaco
Ginatilan,Salamanca
Lapulapu City,Agus
Lapulapu City,Bankal
Lapulapu City,Buaya
Lapulapu City,Calawisan
Lapulapu City,Canjulao
Lapulapu City,Caubian
Lapulapu City,Caw-oy
Lapulapu City,Cawhagan
Lapulapu City,Gun-ob
Lapulapu City,Mactan
Lapulapu City,Maribago
Lapulapu City,Marigondon
Lapulapu City,Pajac
Lapulapu City,Pangan-an
Lapulapu City,Punta Engaño
Lapulapu City,Pusok
Lapulapu City,San Vicente
Lapulapu City,Subabasbas
Lapulapu City,Talima
Lapulapu City,Tingo
Lapulapu City,Tungasan
Liloan,Calero
Liloan,Cotcot
Liloan,Jubay
Liloan,Lataban
Liloan,Santa Cruz
Liloan,Tabla
Liloan,Yati
Madridejos,Bunakan
Madridejos,Kangwayan
Madridejos,Kaongkod
Madridejos,Kodia
Madridejos,Maalat
Madridejos,Mancilang
Madridejos,Tabagak
Madridejos,Talangnan
Madridejos,Tarong
Madridejos,Tugas
Malabuyoc,Armeña (Cansilongan)
Malabuyoc,Cerdeña (Ansan)
Malabuyoc,Labrador (Bulod)
Malabuyoc,Montañeza (Inamlang)
Malabuyoc,Tolosa (Calatagan)
Mandaue City,Alang-alang
Mandaue City,Bakilid
Mandaue City,Cabancalan
Mandaue City,Cambaro
Mandaue City,Canduman
Mandaue City,Casuntingan
Mandaue City,Centro (Pob.)
Mandaue City,Cubacub
Mandaue City,Guizo
Mandaue City,Ibabao-Estancia
Mandaue City,Jagobiao
Mandaue City,Labogon
Mandaue City,Maguikay
Mandaue City,Mantuyong
Mandaue City,Opao
Mandaue City,Pagsabungan
Mandaue City,Pakna-an
Mandaue City,Subangdaku
Mandaue City,Tabok
Mandaue City,Tawason
Mandaue City,Tingub
Mandaue City,Tipolo
Mandaue City,Umapad
Medellin,Antipolo
Medellin,Canhabagat
Medellin,Caputatan Norte
Medellin,Caputatan Sur
Medellin,Curva
Medellin,Daanlungsod
Medellin,Dalingding Sur
Medellin,Dayhagon
Medellin,Don Virgilio Gonzales
Medellin,Gibitngil
Medellin,Kawit
Medellin,Lamintak Norte
Medellin,Lamintak Sur
Medellin,Luy-a
Medellin,Maharuhay
Medellin,Mahawak
Medellin,Panugnawan
Medellin,Tindog
Minglanilla,Cadulawan
Minglanilla,Calajo-an
Minglanilla,Camp 7
Minglanilla,Camp 8
Minglanilla,Cuanos
Minglanilla,Guindaruhan
Minglanilla,Linao
Minglanilla,Manduang
Minglanilla,Pakigne
Minglanilla,Poblacion Ward I
Minglanilla,Poblacion Ward II
Minglanilla,Poblacion Ward III
Minglanilla,Poblacion Ward IV
Minglanilla,Tulay
Minglanilla,Tunghaan
Minglanilla,Tungkil
Minglanilla,Tungkop
Moalboal,Agbalanga
Moalboal,Bala
Moalboal,Balabagon
Moalboal,Basdiot
Moalboal,Batadbatad
Moalboal,Bugho
Moalboal,Buguil
Moalboal,Busay
Moalboal,Poblacion East
Moalboal,Poblacion West
Moalboal,Saavedra
Moalboal,Tomonoy
Moalboal,Tuble
Moalboal,Tunga
Naga City,Alfaco
Naga City,Balirong
Naga City,Cantao-an
Naga City,Central Poblacion
Naga City,Colon
Naga City,East Poblacion
Naga City,Inayagan
Naga City,Inoburan
Naga City,Jaguimit
Naga City,Lanas
Naga City,Lutac
Naga City,Mainit
Naga City,Naalad
Naga City,North Poblacion
Naga City,Pangdan
Naga City,Patag
Naga City,South Poblacion
Naga City,Tagjaguimit
Naga City,Tangke
Naga City,Tinaan
Naga City,Tuyan
Naga City,Uling
Naga City,West Poblacion
Oslob,Alo
Oslob,Bangcogon
Oslob,Calumpang
Oslob,Can-ukban
Oslob,Cañang
Oslob,Canangca-an
Oslob,Cansalo-ay
Oslob,Gawi
Oslob,Hagdan
Oslob,Lagunde
Oslob,Luka
Oslob,Manlum
Oslob,Nueva Caceres
Oslob,Pungtod
Oslob,Tan-awan
Oslob,Tumalog
Pilar,Cawit
Pilar,Imelda
Pilar,Lower Poblacion
Pilar,Moabog
Pilar,Montserrat
Pilar,San Juan
Pilar,Upper Poblacion
Pilar,Villahermosa
Pinamungahan,Anislag
Pinamungahan,Anopog
Pinamungahan,Buhingtubig
Pinamungahan,Cabiangon
Pinamungahan,Camugao
Pinamungahan,Guimbawian
Pinamungahan,Lut-od
Pinamungahan,Mangoto
Pinamungahan,Pandacan
Pinamungahan,Punod
Pinamungahan,Rizal
Pinamungahan,Sambagon
Pinamungahan,Sibago
Pinamungahan,Tajao
Pinamungahan,Tangub
Pinamungahan,Tanibag
Pinamungahan,Tupas
Pinamungahan,Tutay
Poro,Adela
Poro,Altavista
Poro,Cagcagan
Poro,Cansabusab
Poro,Daan Paz
Poro,Eastern Poblacion
Poro,Mercedes
Poro,Pagsa
Poro,Paz
Poro,Teguis
Poro,Western Poblacion
Ronda,Can-abuhon
Ronda,Canduling
Ronda,Cansalonoy
Ronda,Cansayahon
Ronda,Ilaya
Ronda,Langin
Ronda,Libo-o
Ronda,Malalay
Ronda,Vive
Samboan,Bulangsuran
Samboan,Calatagan
Samboan,Cambigong
Samboan,Camburoy
Samboan,Colase
Samboan,Dalahikan
Samboan,Jumangpas
Samboan,Monteverde
Samboan,San Sebastian
Samboan,Tangbo
San Fernando,Balungag
San Fernando,Cabatbatan
San Fernando,Greenhills
San Fernando,Lantawan
San Fernando,Magsico
San Fernando,Pitalo
San Fernando,Poblacion North
San Fernando,Poblacion South
San Fernando,Sangat
San Fernando,Tabionan
San Fernando,Tananas
San Fernando,Tinubdan
San Fernando,Tonggo
San Francisco,Campo
San Francisco,Consuelo
San Francisco,Himensulan
San Francisco,Montealegre
San Francisco,Northern Poblacion
San Francisco,Santiago
San Francisco,Sonog
San Francisco,Southern Poblacion
San Francisco,Unidos
San Francisco,Union
San Remigio,Argawanon
San Remigio,Bagtic
San Remigio,Bancasan
San Remigio,Batad
San Remigio,Busogon
San Remigio,Calambua
San Remigio,Canagahan
San Remigio,Gawaygaway
San Remigio,Kayam
San Remigio,Kinawahan
San Remigio,Lambusan
San Remigio,Lawis
San Remigio,Libaong
San Remigio,Mano
San Remigio,Punta
San Remigio,Sab-a
San Remigio,Tacup
San Remigio,Tambongon
San Remigio,To-ong
San Remigio,Victoria
Santa Fe,Balidbid
Santa Fe,Hilantagaan
Santa Fe,Kinatarkan
Santa Fe,Maricaban
Santa Fe,Okoy
Santa Fe,Pooc
Santander,Bunlan
Santander,Cabutongan
Santander,Candamiang
Santander,Canlumacad
Santander,Liloan
Santander,Lip-tong
Sibonga,Abugon
Sibonga,Bae
Sibonga,Bahay
Sibonga,Banlot
Sibonga,Can-aga
Sibonga,Candaguit
Sibonga,Cantolaroy
Sibonga,Dugoan
Sibonga,Guimbangco-an
Sibonga,Libo
Sibonga,Lindogon
Sibonga,Magcagong
Sibonga,Manatad
Sibonga,Mangyan
Sibonga,Papan
Sibonga,Sayao
Sibonga,Simala
Sogod,Ampongol
Sogod,Bagatayam
Sogod,Bawo
Sogod,Cabalawan
Sogod,Calumboyan
Sogod,Damolog
Sogod,Lubo
Sogod,Mohon
Sogod,Nahus-an
Sogod,Pansoy
Sogod,Tabunok
Sogod,Takay
Tabogon,Caduawan
Tabogon,Camoboan
Tabogon,Canaocanao
Tabogon,Combado
Tabogon,Daantabogon
Tabogon,Ilihan
Tabogon,Kal-anan
Tabogon,Libjo
Tabogon,Loong
Tabogon,Mabuli
Tabogon,Manlagtang
Tabogon,Muabog
Tabogon,Pio
Tabogon,Salag
Tabogon,Sambag
Tabogon,Somosa
Tabogon,Taba-ao
Tabogon,Tapul
Tabuelan,Bongon
Tabuelan,Dalid
Tabuelan,Kanlim-ao
Tabuelan,Kanluhangon
Tabuelan,Kantubaon
Tabuelan,Mabunao
Tabuelan,Maravilla
Tabuelan,Olivo
Tabuelan,Tigbawan
Talisay City,Camp IV
Talisay City,Cansojong
Talisay City,Dumlog
Talisay City,Jaclupan
Talisay City,Lagtang
Talisay City,Lawaan I
Talisay City,Lawaan II
Talisay City,Lawaan III
Talisay City,Maghaway
Talisay City,Manipis
Talisay City,Tabunoc
Toledo City,Awihao
Toledo City,Biga
Toledo City,Bulongan
Toledo City,Bunga
Toledo City,Cabitoonan
Toledo City,Calongcalong
Toledo City,Cambang-ug
Toledo City,Canlumampao
Toledo City,Cantabaco
Toledo City,Capitan Claudio
Toledo City,Carmen
Toledo City,Daanglungsod
Toledo City,Don Andres Soriano (Lutopan)
Toledo City,Gen. Climaco (Malubog)
Toledo City,"Juan Climaco, Sr. (Magdugo)"
Toledo City,Landahan
Toledo City,Loay
Toledo City,Luray II
Toledo City,Matab-ang
Toledo City,Media Once
Toledo City,Pangamihan
Toledo City,Poog
Toledo City,Putingbato
Toledo City,Sam-ang
Toledo City,Sangi
Toledo City,Santo Niño (Mainggit)
Toledo City,Subayon
Toledo City,Talavera
Toledo City,Tungkay
Tuburan,Amatugan
Tuburan,Apalan
Tuburan,Bagasawe
Tuburan,Bakyawan
Tuburan,Bangkito
Tuburan,Barangay I (Pob.)
Tuburan,Barangay II (Pob.)
Tuburan,Barangay III (Pob.)
Tuburan,Barangay IV (Pob.)
Tuburan,Barangay V (Pob.)
Tuburan,Barangay VI (Pob.)
Tuburan,Barangay VII (Pob.)
Tuburan,Barangay VIII (Pob.)
Tuburan,Bulwang
Tuburan,Caridad
Tuburan,Carmelo
Tuburan,Colonia
Tuburan,Daan Lungsod
Tuburan,Fortaliza
Tuburan,Ga-ang
Tuburan,Gimama-a
Tuburan,Jagbuaya
Tuburan,Kabangkalan
Tuburan,Kabkaban
Tuburan,Kagba-o
Tuburan,Kalangahan
Tuburan,Kamansi
Tuburan,Kampoot
Tuburan,Kan-an
Tuburan,Kanlunsing
Tuburan,Kansi
Tuburan,Kaorasan
Tuburan,Lusong
Tuburan,Macupa
Tuburan,Mag-alwa
Tuburan,Mag-antoy
Tuburan,Mag-atubang
Tuburan,Maghan-ay
Tuburan,Mangga
Tuburan,Marmol
Tuburan,Molobolo
Tuburan,Putat
Tuburan,Sandayong
Tuburan,Siotes
Tuburan,Sumon
Tuburan,Tominjao
Tuburan,Tomugpa
Tudela,Calmante
Tudela,Daan Secante
Tudela,General
Tudela,McArthur
Tudela,Puertobello
Tudela,Santander
Tudela,Secante Bag-o